序号,帖子标题,分类,置信度,关键词,作者
360,jojo里有什么看似一般，实则很强的替身？,动画/番剧,0.95,"JoJo's Bizarre Adventure, Jo3, 恋人5, 绿洲 (绿洲), 替身",。轻舟已过万重山
359,我靠 岩井友希这是怎么了,动画/番剧,0.95,"岩井友希, 遗言, 北京时间",eirc834
674,前几天电锯人动画做了个总集篇，各位可以去重新看看,动画/番剧,0.95,"电锯人, 岸边拳击, 玛奇玛, 武士刀, 僵尸",北山玖公
675,胶佬们去哪白嫖手办的stl模型,手办/周边,0.95,"瑟瑟手办, 3d打印机, stl模型, 海盗党",たが断る
676,所以其实黑胡子的血脉也挺牛逼的戴维一族？,漫画,0.95,"黑胡子, 戴维一族, 章鱼, 海贼",爱民如子石天王
358,[新番讨论][专楼] 古诺希亚/GNOSIA [游改][2025年10月],动画/番剧,0.95,"GNOSIA, 尤里, 塞思, SQSQ, 拉琪奥",石中玉5265
354,铁兽姐妹的羁绊,动画/番剧,0.95,铁兽姐妹,丶夜鹰之梦丶
679,阴凉处真好啊,动画/番剧,0.95,"日向日菜, 阴凉处",SakaiShana
698,韩漫无限流里的武侠侧副本定位咋那么高,游戏,0.95,"无限流, 重生猎人, 全知读者, 神, 神器",即食型派蒙
699,感觉有人在假装和我玩SM小游戏，然后偷偷把我往死里打,游戏,0.95,"宫崎老先生, 苔藓洞窟, 猎人小径, 小怪模组",剑崎梨梨花
700,22世纪最强毒品——幸福瓦斯,动画/番剧,0.95,"幸福瓦斯, 22世纪",achemonde
344,[学马仕氵]手毬的可爱片段？毛球的不要笑挑战(,动画/番剧,0.95,"手毬, 毛球",GoldenAlien
719,最近也是跟着炫神看凡人修仙传看多了，还做梦梦见修仙了,轻小说,0.95,"凡人修仙传, 炫神, 洞府, 傀儡, 石头人",恋夢星灯
338,WAN2.2生成视频分辨率有什么要求？不常见的视频比例应该怎么设置,动画/番剧,0.95,"视频分辨率, 像素, 480P, 720",NGSBA
721,漫威与DC的两部新重启系列感觉都挺好看的啊,漫画,0.95,"漫威, DC, 绝对系列, 终极系列, 蜘蛛侠",xyz_official
337,那么问题来了，那部蝙蝠侠比较适合作为入坑作呢(),动画/番剧,0.95,"蝙蝠侠, 百爪挠心, 宇宙",三月七的冒烟白丝
336,'咒术回战≡'乙骨真剑 乙骨忧花 马鹿 彩图,动画/番剧,0.95,"咒术回战, 乙骨真剑, 乙骨忧花, 马鹿",无漏的伟健
722,对爱丽丝说想要蘑菇的魔理沙，让灵梦祝我修行，就算让我娶早苗我也愿意啊,动画/番剧,0.95,"爱丽丝, 魔理沙, 灵梦, 早苗",Just｜Monika
723,就结果来看 弗利沙大王跟波罗斯是不是都是宇宙乡巴佬,游戏,0.95,"弗利沙, 波罗斯, 赛亚人, 娜美星, 弗利沙大王",HuniePoppuppy
335,为啥动画区不流行什么万字拆解，考虑到长度，可以增加到三万字拆解什么的,动画/番剧,0.95,"动画区, 导演脚本, 剧情简述, 细节分析, 小连招",新世界唯心主义
724,最近的矮人越来越精灵化，跟这种矮人出去冒险你安心么？,动画/番剧,0.95,"矮人, 精灵化, 欧美系, 日式",三顺啊喂
334,御剑检察官是当做反派塑造的吗,动画/番剧,0.95,"逆转裁判, 御剑, 成步堂, 检察官",云外飞桥一泪烟
333,咒术回战这是又抄火影了？,动画/番剧,0.95,"咒术回战, 火影",柒个果
725,这算不算反差萌,动画/番剧,0.95,"反差萌, 动漫",街健夜鱼
726,[直播楼氵]完全不懂棒球的人重新看一遍《钻石的功罪》,漫画,0.95,"钻石的功罪, 棒球漫画, 投捕关系, 投打关系, ntr",jiujiujiu1111
330,《铠真传 武士军团》新视觉图 26年1月开播,动画/番剧,0.95,"铠真传, 武士军团, 凯, 上杉魁人, 北条武蔵",SakaiShana
728,[拼装] 第二个GL飞翼，入手价29，原色喷涂，外加少许补色，头部的缝可以修,手办/周边,0.95,"GL飞翼, 白雪姬, 手办, 喷漆, 模型",山科那奈
718,[破事氵] 异世界厕纸改编的动画会忠于原作吗？,动画/番剧,0.95,"异世界厕纸, 杖与剑的魔剑谭, 转生七王子, 魔改, 日轻",伊德泽尔
339,催眠app续作发售日期已确定，9.26,游戏,0.95,"催眠앱, 续作, 发售日期",KumikoP2
716,自從知道每年都有職業聯賽後，對运動漫捨身換打贏王者隊伍完全燃不起來,漫画,0.95,"运动漫, 王者队, 职业联赛, 青春回忆, 主角",舞台精靈愚者
707,睡前在写推理小说结果晚上梦到自己成了凶手,轻小说,0.95,"推理小说, 梦, 凶手, 日常回归, 心理描写",铃音00
343,[专楼] [新番讨论][2025年7月] [GALGAME改] 拔作岛-THE ANIMATION ...,动画/番剧,0.95,"拔作岛-THE ANIMATION, 橘淳之介, 畔美岬, 仙波光姫, 枢木美雨",10RANCE
342,最强的假面骑士是谁？平成骑士这类的就别说了,动画/番剧,0.95,"假面骑士, 平成骑士, 昭和骑士",美人沙海蔚蓝
703,大妈之家听说好像死了？虽然广告太多后没用过几次了,漫画,0.95,"社区版, 还活着的老漫画, 新漫画",Just｜Monika
704,9月6日游戏人生的作者巴西人  宮祐因阅读没有打tag的NTR本而号泣,漫画,0.95,"宮祐因, NTR, 巴西人, 9月6日游戏人生",御行什叁
705,[新闻资讯] UnionCreative <狂赌之渊> 早乙女芽亚里,手办/周边,0.95,"狂赌之渊, 芽亚里, UnionCreative, 手办",hcahcsroR
706,[机战y氵]葵司：哈撒维你爸爸有很多你不知道的厉害之处哦,动画/番剧,0.95,"机动战士高达, 葵司, 哈撒维",康康康kang
708,万能的猴区，找一个漫画,漫画,0.95,"国漫, 历史穿越, 博物馆, 黑丝白丝连裤袜",喜欢狗的陈叔
715,[地错氵] IF贝尔:人在家中坐，病娇天上来,动画/番剧,0.95,"IF贝尔, 病娇",丶夜鹰之梦丶
709,如果鲁路修不小心嘴贱,动画/番剧,0.95,"鲁路修, 全裸, 蟹股",即食型派蒙
341,看血月突然有一个疑惑，血月会强化黑暗势力，代表不详是在全世界通用的吗,游戏,0.95,"血月, 野炊, 泰拉, 怪物",装茶的罐子
711,[新番讨论][专楼][漫改][2025年4月]九龙泛型浪漫/九龙大众浪漫/九龍ジェネリックロマンス(...,动画/番剧,0.95,"九龙城寨, 鲸井令子, 工藤发, 蛇沼实之, 九龙城寨浪漫",阿波罗不了解宇宙
340,所以，还续摊吗？,动画/番剧,0.95,续摊,柏木麻友
713,最近看孤独摇滚漫画有感,漫画,0.95,"孤独摇滚, 高中生, 乐队",splami
714,收到宝可梦精灵球公交卡了，比想象中大了好多,游戏,0.95,"Pokemon Let's Go, 宝可梦, 精灵球, PTCG卡包球, Switch",Tony_Wonder
662,很冷吧？我来帮你揉揉搓搓暖和暖和！,动画/番剧,0.95,"揉揉搓搓, 暖和暖和",丶夜鹰之梦丶
660,修女：你们俩下辈子想当猫还是狗,动画/番剧,0.95,"修女, 猫, 狗",KumikoP2
394,巴克·亚罗有机会进下一部机战吗,动画/番剧,0.95,"机动战士高达, 巴克·亚罗, 绝！绝！绝岱澹, 吕布, 诸葛",Superpilot
385,[闲聊氵] 10月番桃子动画有点多啊,动画/番剧,0.95,"10月番, 桃子动画",laingf
383,雪傀儡为什么不是穿白丝？看着这个善魂就可爱，狠狠的骑。,动画/番剧,0.95,"雪傀儡, 善魂",Just｜Monika
611,(纯主观发癫)马后炮的说fsn动画化(至少hf剧场版)是不是思路全错了,动画/番剧,0.95,"fsn, fate, 伊莉雅, 麻婆, 红a",鬼屎蛋
612,[魔法少女的魔女审判通关氵(剧透)]奇妙的破防感受,游戏,0.95,"魔裁, 艾玛汉娜雪梨, 梅露露, 汉娜, 诺亚",暘墁
613,好小的玛奇玛啊,动画/番剧,0.95,玛奇玛,Just｜Monika
614,[日本旅行归猴]想问问有经验的大佬在霓虹购买哪些东西是可以免税的,手办/周边,0.95,"空轨, 限定版, 二手店",我的态度是异议
615,星名めいと 邪神与圣女新刊封面,漫画,0.95,"星名めいと, 邪神, 圣女, 新刊",SakaiShana
616,假面骑士ZZZ初变身！,动画/番剧,0.95,"假面骑士ZZZ, 初变身",丶夜鹰之梦丶
617,如果让斯内普选择他的滑铁卢他会选湖边还是尖叫棚屋？,轻小说,0.95,"斯内普, 湖边, 尖叫棚屋, 小天狼星, 詹姆",KumikoP2
618,噗妮露和nanhira联动唱《噗尼轮轮》的主题曲,音乐/歌曲,0.95,"噗妮露 (Puniel), 南希拉 (Nanhira), 噗尼轮轮 (Puni Puni), 联动",宝多茜
382,乌拉拉也去世了啊……,游戏,0.95,"乌拉拉, 牧场",吞噬众神的咸鱼
620,有没有大佬知道这是什么韩漫,漫画,0.95,"韩漫, 漫画",夜风物语
381,最近芦灰漫画belike,漫画,0.95,"芦灰, 漫画",天空霸
380,这个出自哪个漫画,漫画,0.95,"漫画, 图片",FacDap
622,大仓衣远这个b给我看的有些恶心了,动画/番剧,0.95,"大仓衣远, 包饺子",北岛御子
379,紫阳花数值也太恐怖了,游戏,0.95,"紫阳花, 数值, 长臂及膝, 防詹姆斯",早赖尿邮箱
384,看完加布后越想越气，感觉不叨叨点没法释怀,动画/番剧,0.95,"假面骑士加布, 真, 绊斗, 人兰戈, 生真",JillFred
386,胆大党废话,动画/番剧,0.95,"本番, 高仓健, 龙(作者)",UID:66838334
366,[闲聊氵] 官方设定最美的，有大家觉得真漂亮的吗。最近观海贼有感。,动画/番剧,0.95,"薇尔莉特, 海贼王, 司波深雪, 夏琪, 堕姬",蓝色猫头
607,[海贼王氵]所以红发当初为什么要挡凯多？,动画/番剧,0.95,"海贼王, 红发, 凯多, 白胡子, 洛克斯海贼团",漆黑噤默
593,礼前辈像常驻了流汗黄豆一样,动画/番剧,0.95,"鬼畜, 萝莉控, mon_202509/08",早赖尿邮箱
594,优雅的诀窍,动画/番剧,0.95,优雅的诀窍,SakaiShana
595,男娘和贫乳扶她的区别是什么?,动画/番剧,0.95,"男娘, 贫乳, 扶她",#anony_011b12ad3b184a6accb7155985084966
390,这紫阳花顶得住也是神人了,动画/番剧,0.95,"大天使, 紫阳花, 金蝉子",Viviankl
389,[魔裁剧透氵]这也算是我的梦中情gal了,动画/番剧,0.95,"魔裁, 装甲恶鬼村正, 石头门, gal",夜ghost
597,[闲聊氵] 好的就是这口换家，摇滚淑女，还挺有意思的。居然没啥人讨论。,动画/番剧,0.95,"摇滚淑女, 金毛",蓝色猫头
598,有没有正常动漫的女主是穿瑜伽裤，鲨鱼裤那种紧身的，骆驼趾很明显的？,动画/番剧,0.95,"瑜伽裤, 鲨鱼裤, 骆驼趾, 健身教练, 女主",闪光猫头鹰哦
388,你不能要求你的伴侣同时扮演妈妈、姐姐和爱人,动画/番剧,0.95,"银河铁道999, 梅蒂尔",Skyblaze42
600,[半直播贴] 想到什么就记录的安达与岛村的读书记录(暂时性完结，静待下一卷),漫画,0.95,"安达, 岛村, 读书记录, 半直播贴, 下一卷",Stormerzs
601,[新闻资讯] PB限定 HGFC 1/144 曼陀罗高达,手办/周边,0.95,"HGFC, 曼陀罗高达, 1/144, PB",hcahcsroR
602,复制能力其实应该很强,漫画,0.95,"Amazo, Tas Worldview, Five Dimensional Man, Living Tribunal, Super Adaptoid",天生我才2015
603,《世界最强后卫～迷宫国的新人探索者～》TV动画化,动画/番剧,0.95,"世界最强后卫, 迷宫国, 探索者",SakaiShana
604,[加布氵]感觉后期的生真缺了点什么,动画/番剧,0.95,"假面骑士加布 (Kamen Rider Gabin), 生真, 胃家, 蛋糕王",╭老船长﹎
605,后知后觉地玩了这个魔法少女的魔女审判，果然还是想吐槽下,游戏,0.95,"魔女审判 (Magical Girl Judgment), Acacia, 希罗 (Hiro), 蕾娅 (Leia), 雪莉汉娜 (Shiribana)",#anony_8989f4c35db7731ca448de28de5284f6
606,[无聊氵] 听了原曲之后我才知道摇滚淑女里面的插曲都是简化的，或者说，技术劣化版本的,动画/番剧,0.95,"摇滚淑女, 原曲, 动画插曲, B站",西班牙海鲜烩饭
624,我觉得樱桃社当务之急是给丝之歌做点战败CG,游戏,0.95,"樱桃社, 大黄蜂, 战败CG, 跑酷跳跳乐, DL",アンタイオス
378,ikura现在自己tie的歌也开始多起来了，间谍过家家3的新ED听着不赖,动画/番剧,0.95,"间谍过家家 (SPY×FAMILY), 莉拉, ED, Actor",GoldenAlien
625,就，回圣巢刷图的时候突然想到性别的事,游戏,0.95,"圣巢, 小骑士, 容器, 发光子宫, 护符",firestealer12138
626,[新番讨论][专楼][漫改]ばっどがーる(坏女孩) 9月6日23：00  ep10.在自习室/握比抓...,动画/番剧,0.95,"ばっどがーる (坏女孩), 优谷优, 水鸟亚鸟, 凉风凉, 瑠璃叶瑠萝",八目鳗
644,炼金工房TGS2025挂画泳装优米雅,游戏,0.95,"炼金工房TGS2025, 优米雅, 泳装",丶夜鹰之梦丶
369,教主ilem第一次线下个人音乐会,音乐/歌曲,0.95,"教主, 良校长, 李特基, 唱聊会, 个人音乐会",香港记者杰瑞
646,你这后宫为什么没有女人？,游戏,0.95,"后宫系统, 道侣, 穿越, 老魔头, 程序员",愚鱼欲与渔语
647,十月番的那个《忍者与极道》原作怎么样,动画/番剧,0.95,"忍者与极道, 十月番",╭老船长﹎
648,[新番讨论][专楼] SI-VIS: The Sound of Heroes [原创][2025年1...,动画/番剧,0.95,"SI-VIS, YOSUKEYOSUKE, 塞壬, 成宫魅羽, 苍司",石中玉5265
649,现在还有没有什么比较好的动画杂谈up推荐的,动画/番剧,0.95,禅心武神,sakmok-4号机
650,[咒术氵] 芥见风格的真剑优花,动画/番剧,0.95,"咒术回战, 芥见下弦",天空霸
651,[手办]gsc的尾张怎么闲鱼价都比我补款便宜了…,手办/周边,0.95,"尾张怎么, 安宝, 泳装, gsc",物理学圣剑mk2
652,[机战氵]这次马三角的人名翻译是用的哪个版本的？还是简中原创的？感觉名字基本都换了,动画/番剧,0.95,"机动战士高达, 马三角, 叉车佬疾风, kaname队长, 要·布卡尼尔",AMX015
368,[其他] VOCALOID区集中灌水讨论楼,音乐/歌曲,0.95,"VOCALOID, UTAU, Synthesiser V, CeVIO, Piapro Studio",Schmeichel20
653,[小报]TV动画《杖与剑的魔剑谭》第二季，26年4月放送,动画/番剧,0.95,"杖与剑的魔剑谭, 大森藤ノ, 青井聖, 吉原達矢, 中野英明",hhhhhhttt
654,vf27sp 2.0，海鲜入，现在涨价了，小赚,游戏,0.95,"vf27sp, 2.0, 海鲜, 补",ReithySHA
655,韩国人会举报其他语言的本子是流言还是确有此事？,动画/番剧,0.95,"本子, 韩国, 举报",南下北落师门
367,VOCALOID,音乐/歌曲,0.95,VOCALOID,admin
658,关于日语学习的一些暴论,动画/番剧,0.95,"动画, 字幕, 日语, 动画, 悔い改める",うたわれ
370,求助，孩子快两个小时拼尽全力无法找到一首歌,虚拟主播/VTuber,0.95,"初音, 爱呦爱呦, 巴拉巴拉, 欧内盖",鬼太郎的宠物
643,[新闻资讯] Flame Toys [铁机巧] <天元突破红莲螺岩> 螺旋岩,手办/周边,0.95,"天元突破红莲螺岩, 螺旋岩, Flame Toys, 铁机巧",hcahcsroR
371,[闲聊氵] [讨论] 藤田琴音 和 影之诗,游戏,0.95,"藤田琴音, 奶龙, 绿宝石宗师, 通宵练牌",yingzhen-
374,IOS有没有啥好用的看漫画软件，收费的也行,漫画,0.95,"海贼王, 彩漫, iPad",岩砂土
628,求个本子，讲的是男主青梅被学生会长ntr了,漫画,0.95,"ntr, 学生会长, 青梅, 副会长, 锻炼技术",月光留步
629,圆谷明年会拍出怎么样的奥特曼呢,动画/番剧,0.95,"奥特曼, 圆谷",香草优米雅
377,公司的傲娇前辈蒂安娜,动画/番剧,0.95,蒂安娜,Just｜Monika
631,精心编排的剧情，真的很能煽情,漫画,0.95,"已婚, 老师, 学生, 人妻, 剧情煽情",里漫鲁斯
376,恋人不行这一季要是断在告白那里是不是乐子拉满？,动画/番剧,0.95,"恋人不行, 告白",是谁的书画
375,[新番讨论][专楼] 阴阳回天 Re:Birth Verse [周三23:45] #11 做好觉悟吧...,动画/番剧,0.95,"CRY OUT, 电祇平安京, 阴阳回天 Re:Birth Verse, 业平 猛, 月宫",石中玉5265
634,真要跨种族杂交，还是人类有优势吧,动画/番剧,0.95,"哥布林, 精灵, 龙, 人, 杂交",wushan708
641,[直播] 各种粤配版动画/外地剧集补看  感想记录，盖楼贴  持续更新,动画/番剧,0.95,"童话枪手小红帽, 狼少女与黑王子, 翠星之加尔刚蒂亚, 伽利略少女, 东京残响",CYANMINT
635,[魔女审判][剧透？]请大家把魔裁的吊图借给我,动画/番剧,0.95,"魔女审判, 魔裁",竟然是高达
372,[魔裁氵]梅露露,动画/番剧,0.95,"梅露露, 魔裁",Ouroboros╳
637,为纪念《Chargeman研》播出51周年，神回《脑袋里有炸弹》将漫画化,漫画,0.95,"Chargeman研, 脑袋里有炸弹, Cha研音乐祭",麦林Mognum
638,有母女百合作品推荐吗？,动画/番剧,0.95,"魔爱母女, 母女百合, 母女丼, 扶她本",弹剑而歌以咏志在千里
639,求番名，女主乡村振兴跑乡下做村长一类,动画/番剧,0.95,"paworks, 村长, 乡村振兴",年下萝莉控
640,"虽然很少提到，不过死亡笔记还有无法让人做到""不可能有这种念头""的事情的限制，比如杀死不认识的人或把钱...",漫画,0.95,"死亡笔记, L, 笔记, 不可能有这种念头, 物理",即食型派蒙
988,当年创作艾克赛德的时候高桥为什么没有发病,动画/番剧,0.95,"艾克赛德, 高桥, 极狐",Cerydra
964,[骑士氵]极狐大结局能死而复生，为什么不同样操作复活妈妈呢,游戏,0.95,"极狐, 大结局, 复活, 神, 狐狸",清姬_
990,"亚丝娜算不算是一种""二次元黄蓉""？",游戏,0.95,"黄蓉, 亚丝娜, 三国, 游戏二创",最后的勇者巴莱
1309,[新闻资讯] RIBOSE <崩坏：星穹铁道> 小不点猫猫系列手办 丹恒·饮月,手办/周边,0.95,"崩坏：星穹铁道, 小不点猫猫, 丹恒·饮月, RIBOSE",hcahcsroR
1302,突然能理解把人蒙面当代餐的玩法了,手办/周边,0.95,"抱枕, 平板, 头像, 遮挡",Respecolt
1303,小高新作翻译稀烂啊,游戏,0.95,"小高新作, 丝之歌, 边缘人, 奴隶, 神明",坑爹的熊猫
1304,弟兄们，今年12月，山田兄弟和护士们的恩爱情仇又要开始了,游戏,0.95,"山田, 护士, 疾病, 疼痛, 挤",塔拉瓦血的祭坛
1305,[上海空我]这下腰带桑真的只剩苦主的地位了,动画/番剧,0.95,"腰带桑, 桑田海斗, 变身",╭老船长﹎
1306,[拼装]523机展示加简单评测，量大管饱 目录已更新至最新 今日更新 hg 安克夏 2269楼,动画/番剧,0.95,"高达, 机动战士高达, PG, MG, RX",Deemo_s
1307,雌小鬼的杂鱼挑战你们喜欢哪种下场,其他,0.95,"雌小鬼, 杂鱼, 挑战, 下场, 嘲笑",CH3CH3
